player_satisfaction_combined,first_emotion,percentage
1,angry,3.2846715328467155
1,fear,1.094890510948905
1,happy,12.773722627737227
1,neutral,67.51824817518248
1,sad,15.328467153284672
1,surprise,0.0
3,angry,1.627906976744186
3,fear,1.3953488372093024
3,happy,7.209302325581396
3,neutral,72.55813953488372
3,sad,17.209302325581397
3,surprise,0.0
5,angry,1.0479041916167664
5,fear,3.592814371257485
5,happy,15.868263473053892
5,neutral,67.21556886227546
5,sad,11.826347305389222
5,surprise,0.4491017964071856
